,Word,Power
0,elegy,71.5
1,swell,70.0
2,wrung,71
3,loose,87.2
4,agent,97
5,cello,84.0
6,glass,73.8
7,utter,87.1
8,wrote,96
9,odder,83.2
10,berth,90
11,rajah,62.4
12,flash,82
13,patty,72.1
14,scone,97
15,timer,97
16,reign,94
17,weigh,72
18,ought,82
19,serif,92
20,parka,66.4
21,hardy,86
22,large,102
23,cleft,88
24,frond,81
25,drive,83
26,shrew,84
27,close,100
28,young,79
29,slope,96
30,focus,78
31,mamma,37.199999999999996
32,pivot,77
33,broke,84
34,rigor,76.3
35,stack,84
36,child,79
37,awash,62.4
38,candy,82
39,medic,80
40,knife,74
41,sulky,74
42,stink,81
43,pouch,77
44,lithe,98
45,penal,97
46,quart,85
47,award,66.4
48,frown,74
49,crust,93
50,roger,82.3
51,pilot,93
52,spoon,70.2
53,yacht,87
54,ratty,84.1
55,brush,78
56,snoop,70.2
57,defer,69.5
58,felon,91
59,geeky,57.5
60,baton,92
61,angel,96
62,mover,83
63,prime,87
64,enema,77.5
65,manly,84
66,older,102
67,renew,72.5
68,sworn,85
69,coyly,72.4
70,stout,79.1
71,stuff,62.7
72,tabby,67.8
73,whelp,74
74,lemon,93
75,octet,85.1
76,seven,66.5
77,flood,63.2
78,layer,106
79,raise,109
80,stein,100
81,plaid,86
82,agile,98
83,amity,87
84,tunic,88
85,toast,87.1
86,curio,95
87,savvy,60.4
88,train,104
89,sight,81
90,trick,84
91,prune,92
92,sloop,73.2
93,sober,96
94,feign,78
95,bluer,92
96,quill,58.0
97,spree,79.5
98,sooth,76.2
99,spunk,68
100,tubal,89
101,worry,66.3
102,affix,53.7
103,genre,77.5
104,punch,72
105,frisk,73
106,usage,93
107,imply,73
108,slink,80
109,colon,76.2
110,alibi,72.9
111,clamp,79
112,envoy,82
113,thief,85
114,unity,87
115,usual,79.6
116,daisy,87
117,prowl,81
118,sword,80
119,farce,94
120,three,84.5
121,funny,55.7
122,theft,68.1
123,block,71
124,chunk,67
125,slash,76.8
126,bushy,69
127,clung,78
128,drift,82
129,sinew,84
130,quake,72
131,abort,98
132,artsy,100
133,enter,88.5
134,fluid,74
135,lower,95
136,break,86
137,place,95
138,pinky,67
139,goofy,55.2
140,graze,84
141,flute,89
142,lunar,100
143,berry,72.3
144,scarf,87
145,cynic,66.5
146,shale,100
147,denim,82
148,beget,66.5
149,dummy,51.9
150,daunt,90
151,nanny,58.400000000000006
152,begat,88
153,salvo,88
154,sauna,77.4
155,ratio,109
156,dwell,64.0
157,vocal,85
158,annex,70.7
159,other,104
160,antic,96
161,holly,71.0
162,brook,61.2
163,stone,103
164,bacon,86
165,gloom,63.2
166,scout,92
167,privy,71
168,roost,86.2
169,navel,90
170,godly,78
171,skirt,87
172,hunky,66
173,lowly,63.0
174,fibre,82
175,gooey,73.2
176,slide,94
177,trove,95
178,caput,87
179,tonic,94
180,spurt,89
181,meaty,93
182,notch,88
183,order,84.3
184,shake,86
185,gamer,91
186,towel,93
187,tawny,81
188,marry,72.3
189,libel,74.0
190,armor,80.3
191,elfin,88
192,major,78
193,lymph,67
194,perky,79
195,canoe,103
196,brace,95
197,waist,87
198,gamut,80
199,plank,78
200,femme,44.4
201,dross,76.8
202,seedy,71.5
203,tried,100
204,moist,89
205,eject,63.5
206,freed,69.5
207,abuse,91
208,prank,81
209,steed,78.5
210,zonal,85
211,conch,68.5
212,inlet,102
213,truly,94
214,first,88
215,dried,80.2
216,could,85
217,stall,85.0
218,booze,59.2
219,molar,98
220,realm,101
221,rebel,78.5
222,sedan,96
223,slurp,88
224,after,100
225,shaft,83
226,maker,87
227,pushy,72
228,midst,79
229,eying,85
230,pasty,88
231,slain,98
232,annul,78.7
233,tutor,84.1
234,mauve,78
235,lance,101
236,quoth,73
237,being,79
238,alive,92
239,kinky,56.6
240,tooth,60.300000000000004
241,diode,79.2
242,awful,72
243,itchy,82
244,nerve,71.5
245,grail,96
246,druid,71.2
247,swarm,79
248,ahead,76.4
249,grate,103
250,rinse,102
251,catty,76.1
252,funky,60
253,plate,101
254,hasty,90
255,croak,90
256,voter,95
257,wince,81
258,creep,76.5
259,koala,74.4
260,wreck,74
261,joust,77
262,salve,91
263,prick,74
264,blown,72
265,clump,71
266,bathe,91
267,plant,93
268,ruddy,66.2
269,shade,92
270,rebut,93
271,needy,70.5
272,admin,81
273,salty,97
274,plain,91
275,forge,87
276,iliac,79.9
277,teach,98
278,beset,74.5
279,strip,92
280,adult,93
281,cocoa,64.7
282,rouse,104
283,juicy,64
284,pulpy,62.1
285,nylon,74.7
286,quote,85
287,sully,70.0
288,shark,84
289,smart,95
290,fetal,97
291,endow,81
292,stage,98
293,stray,100
294,leapt,101
295,kneel,70.5
296,space,93
297,coast,100
298,trawl,93
299,dally,72.0
300,ninny,53.400000000000006
301,plait,95
302,minor,90
303,phone,88
304,curse,97
305,noble,92
306,ashen,97
307,peach,88
308,blurb,67.8
309,chalk,78
310,octal,102
311,lurid,90
312,lunge,88
313,roast,108
314,shorn,93
315,opine,94
316,prone,98
317,silky,77
318,saner,107
319,about,91
320,lover,94
321,logic,86
322,music,77
323,dusty,81
324,cheer,78.5
325,quick,57
326,going,69.0
327,riper,80.3
328,aping,81
329,brawl,80
330,psalm,82
331,segue,71.5
332,trice,103
333,horny,89
334,shack,76
335,truss,79.8
336,hence,72.5
337,scuba,81
338,swore,93
339,pesky,74
340,error,74.6
341,furor,70.3
342,grand,86
343,angle,96
344,serum,91
345,would,75
346,crony,91
347,swear,95
348,ninja,61.7
349,money,87
350,noose,84.2
351,incur,90
352,loath,100
353,mogul,77
354,milky,68
355,louse,101
356,kneed,62.5
357,knack,62.6
358,mealy,92
359,swoop,58.2
360,nobly,81
361,shift,78
362,retch,97
363,paste,99
364,lofty,84
365,mafia,61.4
366,aback,55.4
367,froth,86
368,scree,83.5
369,harry,76.3
370,waxen,74
371,pesto,97
372,gaudy,76
373,viola,89
374,cedar,99
375,cabal,69.4
376,wider,84
377,choir,92
378,arbor,79.3
379,aunty,92
380,river,73.3
381,blitz,70
382,vegan,80
383,impel,84
384,idiot,75.9
385,icing,62.9
386,slack,83
387,extra,96
388,quilt,77
389,boney,86
390,savor,91
391,nurse,99
392,jetty,62.1
393,allay,62.4
394,betel,76.5
395,daily,89
396,sally,78.0
397,bicep,78
398,wooly,63.2
399,rocky,80
400,honey,91
401,butch,73
402,creak,93
403,hitch,69.3
404,inlay,94
405,flint,84
406,wagon,78
407,glide,86
408,fiend,80
409,turbo,90
410,quell,64.0
411,ulcer,99
412,mania,71.4
413,pluck,68
414,light,83
415,risen,102
416,moose,76.2
417,bunch,69
418,equal,86
419,welch,78
420,shine,92
421,fuzzy,39.2
422,ivory,82
423,arise,109
424,route,107
425,flush,74
426,uncut,70.6
427,valet,94
428,craze,89
429,easel,89.5
430,gayly,69.4
431,wrist,86
432,folly,65.0
433,salsa,66.2
434,store,109
435,clash,90
436,chase,95
437,munch,70
438,spear,101
439,stalk,89
440,pansy,84
441,unite,98
442,speck,75
443,shoot,76.2
444,tepid,88
445,quash,72
446,ethic,93
447,haven,83
448,tepee,62.0
449,creme,74.5
450,horse,101
451,dryly,70.4
452,lynch,79
453,mucus,59.6
454,merry,73.3
455,filet,92
456,foyer,91
457,trash,99
458,bison,84
459,login,88
460,inert,105
461,tacky,80
462,axiom,77
463,width,70
464,spend,83
465,eaten,89.5
466,fiery,88
467,dumpy,62
468,hymen,78
469,qualm,70
470,clasp,88
471,randy,90
472,anger,99
473,taint,83.1
474,badly,78
475,grunt,87
476,briny,81
477,filth,80
478,melon,93
479,abhor,90
480,build,75
481,gonad,85
482,color,82.2
483,stint,77.1
484,pooch,63.2
485,decor,97
486,deter,83.5
487,rayon,100
488,least,108
489,flail,72.0
490,drake,90
491,mound,76
492,metal,99
493,rugby,71
494,thorn,96
495,amass,55.199999999999996
496,donor,76.2
497,resin,102
498,beach,85
499,north,96
500,pixel,78
501,coral,104
502,quasi,78
503,pasta,76.4
504,banal,71.4
505,perch,87
506,align,90
507,breed,70.5
508,fatal,74.4
509,crept,95
510,tweed,65.5
511,spelt,95
512,token,91
513,again,72.4
514,unlit,93
515,melee,59.0
516,elope,80.5
517,gravy,75
518,valor,93
519,moldy,77
520,optic,88
521,slosh,74.8
522,venue,64.5
523,fungi,69
524,bongo,59.2
525,these,79.5
526,rigid,65.9
527,slime,91
528,rebus,90
529,rough,84
530,swing,69
531,vital,88
532,thick,74
533,stole,106
534,twine,87
535,haute,99
536,vinyl,74
537,honor,77.2
538,gumbo,65
539,beech,63.5
540,flyer,89
541,since,94
542,whole,85
543,until,93
544,every,68.5
